Country Name,GDP 1970,GDP 2022,LogGDP 1970,,Annualised Growth,Scaled GDP,Log Scaled GDP
Afghanistan,..,352.6037331,#VALUE!,2.547286906,,,
Albania,..,6810.114041,#VALUE!,3.833154385,,,
Algeria,352.5338404,5023.252932,2.547200812,3.700985046,1.052417736,6.735075653,68.49416094
American Samoa,..,19673.3901,#VALUE!,4.293879204,,,
Andorra,3958.595725,42350.69707,3.597541151,4.626860563,4.663343448,75.62803519,96.73778425
Angola,..,2933.484644,#VALUE!,3.467383819,,,
Antigua and Barbuda,..,19919.72669,#VALUE!,4.299283375,,,
Argentina,..,13650.60463,#VALUE!,4.135151888,,,
Armenia,..,7018.051504,#VALUE!,3.846216551,,,
Aruba,..,33300.83882,#VALUE!,4.522455173,,,
Australia,3304.83782,65077.67667,3.519150152,4.81343204,5.898555528,63.13814502,94.6298524
Austria,2058.769051,52084.6812,3.313607631,4.71671001,6.410072249,39.33229586,89.10281957
Azerbaijan,..,7770.594223,#VALUE!,3.890454231,,,
"Bahamas, The",3005.784399,32041.25039,3.477957826,4.505709456,4.656077747,57.42480014,93.52219187
Bahrain,1759.463345,30146.92503,3.245380224,4.479243021,5.61561462,33.61413113,87.26818643
Bangladesh,133.1429452,2687.899063,2.12431816,3.429412956,5.949271981,2.543664483,57.12285785
Barbados,688.5346662,20738.45119,2.837925811,4.316776319,6.767588298,13.15429197,76.31174829
Belarus,..,7994.648061,#VALUE!,3.90279935,,,
Belgium,2765.890997,49942.09064,3.441835061,4.698466719,5.722151684,52.84169341,92.55085168
Belize,441.1719393,6984.21696,2.644607881,3.844117722,5.455077923,8.428485572,71.1134344
Benin,110.34695,1304.994797,2.042760334,3.11560878,4.865275195,2.108152385,54.92977012
Bermuda,3387.272727,123091.1235,3.529850165,5.090226736,7.153717267,64.71304443,94.91757547
Bhutan,206.8027897,3704.018395,2.315556393,3.568673135,5.705698138,3.950918393,62.26524877
Bolivia,219.55969,3600.121635,2.341552609,3.556317174,5.526335477,4.194635955,62.96428631
Bosnia and Herzegovina,..,7587.588173,#VALUE!,3.880103751,,,
Botswana,162.506051,7726.110997,2.210869537,3.887960943,7.708941473,3.104639675,59.45022204
Brazil,..,9065.497334,#VALUE!,3.957391635,,,
British Virgin Islands,..,..,#VALUE!,#VALUE!,,,
Brunei Darussalam,1342.994603,37152.47697,3.128074267,4.569987774,6.593103216,25.65759429,84.11383244
Bulgaria,..,13974.44925,#VALUE!,4.145334701,,,
