Country Name,Country Code,1970 [YR1970],2020 [YR2020],,Scaled GDP
Afghanistan,AFG,..,19955929052,#VALUE!,#VALUE!
Albania,ALB,..,15162734205,#VALUE!,#VALUE!
Algeria,DZA,4863526897,1.64873E+11,1.073010536,0.45313643
American Samoa,ASM,..,721000000,#VALUE!,#VALUE!
Andorra,AND,78617711.1,2891001149,1.07475768,0.007324838
Angola,AGO,..,48501561204,#VALUE!,#VALUE!
Antigua and Barbuda,ATG,..,1410796296,#VALUE!,#VALUE!
Argentina,ARG,..,3.85741E+11,#VALUE!,#VALUE!
Armenia,ARM,..,12641698583,#VALUE!,#VALUE!
Aruba,ABW,..,2558906304,#VALUE!,#VALUE!
Australia,AUS,41333606613,1.33038E+12,1.071897994,3.851065972
Austria,AUT,15373005557,4.35049E+11,1.069142501,1.432308077
Azerbaijan,AZE,..,42693000000,#VALUE!,#VALUE!
"Bahamas, The",BHS,538423153.7,9958200000,1.060086106,0.050165066
Bahrain,BHR,391577364.8,34621807713,1.093781675,0.036483394
Bangladesh,BGD,8992722167,3.73979E+11,1.077405358,0.837854936
Barbados,BRB,166210202.8,4779756550,1.069485651,0.01548586
Belarus,BLR,..,61371755326,#VALUE!,#VALUE!
Belgium,BEL,26706196047,5.26022E+11,1.061421376,2.488225231
Belize,BLZ,53339893.32,2047727810,1.075683239,0.004969696
Benin,BEN,333627713.5,15686741884,1.080053858,0.031084206
Bermuda,BMU,186300000,6887147000,1.074871456,0.017357633
Bhutan,BTN,61812113.04,2457604042,1.07643737,0.005759055
Bolivia,BOL,1006833333,36629843806,1.074527537,0.093806999
Bosnia and Herzegovina,BIH,..,20226036564,#VALUE!,#VALUE!
Botswana,BWA,96243233.66,14960291106,1.10619425,0.008967014
Brazil,BRA,..,1.47611E+12,#VALUE!,#VALUE!
British Virgin Islands,VGB,..,..,#VALUE!,#VALUE!
Brunei Darussalam,BRN,179078929.3,12005799654,1.08774459,0.016684844
Bulgaria,BGR,..,70368758395,#VALUE!,#VALUE!
Burkina Faso,BFA,458404268.8,17725010531,1.075837695,0.042709679
Burundi,BDI,242732571.4,2649680261,1.04896575,0.022615475
Cabo Verde,CPV,..,1821565614,#VALUE!,#VALUE!
Cambodia,KHM,..,25872797892,#VALUE!,#VALUE!
Cameroon,CMR,1151216993,40773241177,1.073950738,0.107259273
Canada,CAN,88192257632,1.65568E+12,1.06040299,8.216902183
Cayman Islands,CYM,..,5655357984,#VALUE!,#VALUE!
Central African Republic,CAF,189106529.2,2326720900,1.051479368,0.017619119
Chad,TCD,469266736.7,10715396042,1.064563984,0.043721739
Channel Islands,CHI,..,9301349237,#VALUE!,#VALUE!
Chile,CHL,9144112431,2.54042E+11,1.068747926,0.851960018
China,CHN,92602634892,1.46877E+13,1.106640691,8.627818509
Colombia,COL,7198360460,2.70348E+11,1.075211257,0.670673655
Comoros,COM,..,1225039197,#VALUE!,#VALUE!
"Congo, Dem. Rep.",COD,..,48716961860,#VALUE!,#VALUE!
"Congo, Rep.",COG,274960699.9,11468688141,1.077469195,0.025618181
Costa Rica,CRI,984830158.5,62395610760,1.086515319,0.091756956
Cote d'Ivoire,CIV,1455482795,63027852805,1.078277415,0.13560782
Croatia,HRV,..,58221300898,#VALUE!,#VALUE!
Cuba,CUB,5693005200,1.07352E+11,1.060496782,0.530419201
Curacao,CUW,..,2534327598,#VALUE!,#VALUE!
Cyprus,CYP,..,25227189745,#VALUE!,#VALUE!
Czechia,CZE,..,2.45975E+11,#VALUE!,#VALUE!
Denmark,DNK,17075457600,3.54763E+11,1.06255474,1.590926104
Djibouti,DJI,..,3185150981,#VALUE!,#VALUE!
Dominica,DMA,..,504214814.8,#VALUE!,#VALUE!
Dominican Republic,DOM,1485500000,78844656298,1.08267471,0.138404533
Ecuador,ECU,2862503139,95865472000,1.07274951,0.266700376
"Egypt, Arab Rep.",EGY,8042200452,3.83818E+11,1.080376192,0.74929451
El Salvador,SLV,1132920000,24921190000,1.063769148,0.105554536
Equatorial Guinea,GNQ,66331428.57,9893816008,1.105281471,0.006180121
Eritrea,ERI,..,..,#VALUE!,#VALUE!
Estonia,EST,..,31330419851,#VALUE!,#VALUE!
Eswatini,SWZ,112139955.1,3982236694,1.074007549,0.010448117
Ethiopia,ETH,3045354455,1.07658E+11,1.073910646,0.283736695
Faroe Islands,FRO,84933333.33,3262045883,1.075692741,0.007913267
Fiji,FJI,219878482.2,4432466220,1.061913774,0.020486152
Finland,FIN,11357516988,2.71886E+11,1.065570212,1.058183662
France,FRA,1.48456E+11,2.64742E+12,1.059313425,13.83172878
French Polynesia,PYF,254036000.8,5792545871,1.064533871,0.023668619
Gabon,GAB,323802475.5,15314577168,1.080180908,0.030168785
"Gambia, The",GMB,52296083.67,1812170891,1.073481587,0.004872444
Georgia,GEO,..,16010869216,#VALUE!,#VALUE!
Germany,DEU,2.15838E+11,3.88773E+12,1.059525319,20.10974051
Ghana,GHA,2214705882,70043095504,1.071521737,0.206344889
Gibraltar,GIB,..,..,#VALUE!,#VALUE!
Greece,GRC,13139863636,1.8848E+11,1.054711069,1.224245496
Greenland,GRL,69520026.67,3082884653,1.078790087,0.006477204
Grenada,GRD,..,1043411111,#VALUE!,#VALUE!
Guam,GUM,..,5916000000,#VALUE!,#VALUE!
Guatemala,GTM,1904000000,77715183063,1.077002667,0.177396318
Guinea,GIN,3220224608,14177835841,1.03008835,0.300029405
Guinea-Bissau,GNB,204670551.4,1520479985,1.040922766,0.019069224
Guyana,GUY,267800000,5471256595,1.062198124,0.024951016
Haiti,HTI,331200000,14508222518,1.078525649,0.030858015
Honduras,HND,723000000,23352232484,1.07197289,0.067362152
"Hong Kong SAR, China",HKG,3800766536,3.44943E+11,1.094353236,0.354118691
Hungary,HUN,5762071728,1.57289E+11,1.068371739,0.536854153
Iceland,ISL,526704545.5,21629953194,1.077134088,0.049073239
India,IND,62422483055,2.67485E+12,1.078050668,5.815923654
Indonesia,IDN,9150684932,1.05905E+12,1.099687521,0.85257238
"Iran, Islamic Rep.",IRN,10976245154,2.39735E+11,1.063617736,1.022660437
Iraq,IRQ,3281318687,1.80899E+11,1.08349708,0.305721561
Ireland,IRL,4395995086,4.28609E+11,1.095923086,0.409576335
Isle of Man,IMN,..,6684225641,#VALUE!,#VALUE!
Israel,ISR,7364277925,4.13268E+11,1.083882053,0.686132241
Italy,ITA,1.13395E+11,1.89746E+12,1.057965627,10.56507957
Jamaica,JAM,1404720442,13812421836,1.046775619,0.130878274
Japan,JPN,2.17224E+11,5.05559E+12,1.064969793,20.23880048
Jordan,JOR,639519744.2,43700383099,1.08815967,0.059584269
Kazakhstan,KAZ,..,1.71082E+11,#VALUE!,#VALUE!
Kenya,KEN,1603447359,1.00658E+11,1.086315132,0.149393727
Kiribati,KIR,14295279.54,222973879.7,1.056479871,0.001331896
"Korea, Dem. People's Rep.",PRK,..,..,#VALUE!,#VALUE!
"Korea, Rep.",KOR,9005144969,1.64431E+12,1.109762064,0.839012373
Kosovo,XKX,..,7717145218,#VALUE!,#VALUE!
Kuwait,KWT,2873638851,1.07513E+11,1.075128998,0.267737894
Kyrgyz Republic,KGZ,..,8270468614,#VALUE!,#VALUE!
Lao PDR,LAO,..,18981805250,#VALUE!,#VALUE!
Latvia,LVA,..,34390910339,#VALUE!,#VALUE!
Lebanon,LBN,..,31712128254,#VALUE!,#VALUE!
Lesotho,LSO,68739972.5,2053338465,1.070298764,0.006404526
Liberia,LBR,323099700,3176126340,1.046769896,0.030103307
Libya,LBY,4601649450,65688454972,1.05460909,0.428737221
Liechtenstein,LIE,90099360.84,6405870210,1.089023192,0.008394588
Lithuania,LTU,..,56964942999,#VALUE!,#VALUE!
Luxembourg,LUX,1457768455,73699366700,1.08162198,0.135820775
"Macao SAR, China",MAC,..,25343525936,#VALUE!,#VALUE!
Madagascar,MDG,1111859571,13051441204,1.0504906,0.103592329
Malawi,MWI,..,12041250084,#VALUE!,#VALUE!
Malaysia,MYS,3864145667,3.37456E+11,1.093511306,0.360023746
Maldives,MDV,19328038.32,3712604583,1.110886831,0.0018008
Mali,MLI,359772315.1,17465392764,1.080744446,0.033520107
Malta,MLT,250721821.6,15249999048,1.085629294,0.023359836
Marshall Islands,MHL,8408486.051,240751144.4,1.069392197,0.000783421
Mauritania,MRT,309405316.1,8260752385,1.067898156,0.028827397
Mauritius,MUS,224125805,11408106446,1.081768756,0.020881876
Mexico,MEX,35520000000,1.12083E+12,1.071473303,3.309410297
"Micronesia, Fed. Sts.",FSM,19885925.98,372000000,1.060327298,0.001852778
Moldova,MDA,..,11530746234,#VALUE!,#VALUE!
Monaco,MCO,293127333.2,6739645416,1.06471069,0.027310772
Mongolia,MNG,..,13312981429,#VALUE!,#VALUE!
Montenegro,MNE,..,4769996866,#VALUE!,#VALUE!
Morocco,MAR,3956336244,1.21354E+11,1.070866155,0.368613173
Mozambique,MOZ,..,14235420174,#VALUE!,#VALUE!
Myanmar,MMR,563555630.8,79006113643,1.10391206,0.052506667
Namibia,NAM,..,10583748542,#VALUE!,#VALUE!
