Country,1970,2015,1970,2015,GDP Per Capita 1970,GDP Per Capita 2015,GDP Growth,Scaled GDP
Aruba,262.3085938,2942.782227,0.059063,0.104341,4441.166107,28203.50798,3.618804925,48.19885931
Angola,54237.05469,236594.8594,5.890365,27.884381,9207.75787,8484.852483,-0.157114643,14.50033135
Anguilla,26.52327538,214.2937164,0.006771,0.014279,3917.187325,15007.61373,2.616695456,25.64751389
Albania,9084.574219,32612.73047,2.150707,2.890513,4223.994351,11282.67905,1.907361155,19.28172412
United Arab Emirates,47921.84766,596926.6875,0.234514,9.2629,204345.3596,64442.74336,-2.194851647,110.1305101
Argentina,388737.7813,1017094.75,23.880561,43.075416,16278.41914,23611.95421,0.717780837,40.35204626
Antigua and Barbuda,266.3953247,1256.7052,0.064177,0.093566,4150.946986,13431.21647,2.283853151,22.95350328
Australia,309082.875,1226367.125,12.793034,23.932502,24160.24807,51242.74616,1.456398681,87.57215288
Austria,155271.6406,438764.625,7.516239,8.67866,20658.15638,50556.72477,1.736023155,86.39976508
Burundi,3059.891602,8317.770508,3.479074,10.16003,879.5132272,818.6757822,-0.137752089,1.399089747
Belgium,187134.875,501096.4375,9.63218,11.28794,19428.09156,44392.19534,1.601816077,75.86478884
Benin,3551.250488,31427.85156,2.91234,10.575952,1219.38046,2971.63334,1.727773271,5.078422774
Burkina Faso,4013.38623,32740.06055,5.6246,18.110624,713.5416262,1807.782026,1.803796925,3.089439497
Bangladesh,95963.95313,571495.5625,64.232482,156.256276,1494.009731,3657.424694,1.736629502,6.250417444
Bulgaria,38062.49219,129420.3828,8.507551,7.199741,4473.965797,17975.69979,2.710596831,30.71987449
Bahrain,10346.41016,68366.71875,0.212605,1.371851,48664.94276,49835.38209,0.04571488,85.16701437
Bahamas,4646.320313,11678.99414,0.169377,0.374206,27431.82553,31210.06649,0.248455895,53.33696803
Belize,374.0260925,2284.763428,0.122182,0.360933,3061.220904,6330.159414,1.406943264,10.81803239
Bermuda,1401.254395,3087.982422,0.052565,0.063692,26657.5553,48483.05002,1.156913459,82.85592374
Bolivia (Plurinational State of),20527.25781,84245.36719,4.484004,10.86973,4577.885705,7750.456284,1.017671219,13.24527262
Brazil,586407.1875,3029301.75,95.113265,204.471769,6165.356509,14815.25672,1.700276662,25.31878214
Barbados,1832.369385,3280.442627,0.238896,0.285324,7670.15515,11497.25444,0.781444036,19.64842635
Brunei Darussalam,10634.36035,27655.99609,0.129529,0.414907,82100.22737,66655.89179,-0.399962136,113.9127073
Bhutan,376.4162903,7372.851563,0.297316,0.727876,1266.047876,10129.26867,4.080134652,17.31058405
Botswana,877.8925781,33298.78906,0.627715,2.120716,1398.552812,15701.67296,4.760471257,26.83363807
Central African Republic,3280.417236,3895.487061,1.811144,4.49317,1811.240429,866.9796737,-1.406840346,1.481639495
Canada,508118.3438,1726018,21.374326,36.026676,23772.36802,47909.44355,1.356792663,81.87564931
Switzerland,285972.8125,600563.25,6.150852,8.296775,46493.2033,72385.14363,0.854970604,123.7038086
Chile,70945.88281,410327.4688,9.783134,17.969353,7251.85639,22834.84935,2.230335863,39.02399985
China,1085341.125,18379366,827.601394,1406.84787,1311.429793,13064.2171,4.519858785,22.32631353
Côte d'Ivoire,19244.65234,96605.38281,5.102064,23.226143,3771.93472,4159.338157,0.188192064,7.108170896
Cameroon,17801.61914,79829.04688,6.519762,23.298368,2730.409352,3426.379344,0.437594227,5.855568607
D.R. of the Congo,52561.21875,77161.07813,20.011036,76.244544,2626.611573,1012.02098,-1.817407931,1.729510274
Congo,3971.244385,24313.7168,1.326885,4.856095,2992.907739,5006.845376,0.994451842,8.556532613
Colombia,109445.2578,634645.875,21.480065,47.520667,5095.201426,13355.15503,1.870359318,22.8235168
Comoros,647.0823975,2352.21167,0.230054,0.777424,2812.741345,3025.648385,0.140417407,5.170732694
Cabo Verde,551.9085693,3410.679688,0.268627,0.524743,2054.553598,6499.714503,2.239515963,11.10779642
Costa Rica,12863.33203,82877.77344,1.847394,4.847804,6962.960815,17095.94147,1.742382953,29.2163967
Cayman Islands,297.4524536,4011.148193,0.009144,0.061724,32529.79589,64985.22768,1.339670218,111.0575978
Cyprus,4519.118652,23981.66992,0.613618,0.8477,7364.710051,28290.27949,2.62189511,48.34714893
Germany,1682669.125,4039011,78.578385,81.787411,21413.89296,49384.26282,1.619887676,84.39606651
Djibouti,773.2838135,3640.227295,0.159659,0.913993,4843.346216,3982.773714,-0.37549969,6.806428122
Dominica,196.2166748,756.2613525,0.071073,0.071183,2760.776593,10624.18488,2.625452198,18.15637944
Denmark,122345.4609,279010.6875,4.931241,5.688695,24810.27817,49046.51902,1.319224457,83.81887356
Dominican Republic,16731.77344,155921.5,4.49972,10.28168,3718.403242,15164.98277,2.740128492,25.91645235
Algeria,94859.46875,451674.75,14.464985,39.728025,6557.868449,11369.17201,1.06377183,19.42953773
Ecuador,33102.92188,189464.0156,6.069376,16.21202,5454.089823,11686.63841,1.476330949,19.97207726
Egypt,94629.29688,1065449.5,34.51385,92.442547,2741.777486,11525.53164,2.799939909,19.69675113
Spain,553603.9375,1711591.875,33.883749,46.671926,16338.33191,36672.83572,1.567001295,62.67265939
Ethiopia,22494.52734,182997.0469,28.415077,100.835458,791.6405556,1814.808506,1.608233126,3.101447518
Finland,76534.1875,227502.6719,4.612366,5.481122,16593.25984,41506.58786,1.778819653,70.9333814
Fiji,2957.741455,10729.58105,0.520562,0.868627,5681.823597,12352.34578,1.50461816,21.10974906
France,1036054.813,2775129.5,51.957738,66.596315,19940.33714,41670.91678,1.427513758,71.21421407
Gabon,7129.611816,29736.10547,0.589314,1.947686,12098.15449,15267.40217,0.448439144,26.09148372
United Kingdom,1031309.188,2842980.25,55.573453,65.860146,18557.58697,43166.92906,1.636703392,73.77084941
