Country Name,Country Code,LogGDP,Growth Rate,Inflation,Unemployment,Net Trade
Aruba,ABW,9.549580439,10.45831735,,,-1165472109
Africa Eastern and Southern,AFE,12.07333781,3.554422329,10.77375122,7.448221786,
Afghanistan,AFG,10.16143264,-6.240171992,,14.1,
Africa Western and Central,AFW,11.94306932,3.784485678,7.967573616,3.737765512,
Angola,AGO,11.01869945,3.04540301,21.35529013,14.693,32770671648
Albania,ALB,10.276838,4.856401652,6.725202715,11.588,-4466603020
Andorra,AND,9.52899405,9.563797527,,,-1585730790
Arab World,ARB,12.55794998,5.793108985,4.995020751,9.869656321,
United Arab Emirates,ARE,11.70506275,7.850418123,4.827888596,2.873,
Argentina,ARG,11.80012115,4.95636996,,6.805,12352064402
Armenia,ARM,10.29033461,12.6,8.64091109,8.608,-1865756410
American Samoa,ASM,8.940018155,1.735015773,,,
Antigua and Barbuda,ATG,9.27131487,9.516395644,7.531078346,,-642330460.7
Australia,AUS,12.22864584,4.268946393,6.594096713,3.701,1.11661E+11
Austria,AUT,11.67296736,4.806430202,8.546869932,4.992,-7124700277
Azerbaijan,AZE,10.89656739,4.714802365,13.85225901,5.65,28697480000
Burundi,BDI,9.523580367,1.848999439,18.80087867,0.919,-826020419.9
Belgium,BEL,11.76612569,3.014721975,9.597511729,5.558,-7647284073
Benin,BEN,10.24118321,6.253244914,1.350778636,1.473,-636684456.7
Burkina Faso,BFA,10.27462468,1.777915438,14.29023543,5.348,-6222637.928
Bangladesh,BGD,11.66288214,7.099828776,7.696954372,5.247,-29612691454
Bulgaria,BGR,10.95590975,3.926432221,15.32525893,4.268,-5098000000
Bahrain,BHR,10.64721957,4.891500207,3.625741043,1.326,8244680851
"Bahamas, The",BHS,10.11847636,10.7820132,5.605406336,9.87,-2909782396
Bosnia and Herzegovina,BIH,10.38978011,4.226811011,,12.657,-5453233507
Belarus,BLR,10.86791028,-4.658244891,15.20967527,3.574,385100000
Belize,BLZ,9.451864322,8.734311438,6.276893194,8.724,-705895306.5
Bermuda,BMU,9.893649707,6.431133996,,,
Bolivia,BOL,10.64353442,3.605680426,1.746328729,3.552,2812996421
Brazil,BRA,12.29046289,3.016694354,9.28010609,9.231,44153266368
Barbados,BRB,9.766462944,13.48086157,,8.493,
Brunei Darussalam,BRN,10.22223605,-1.628331545,3.682250306,5.191,5152696949
Bhutan,BTN,9.462132505,5.213867838,5.639166714,5.947,-602176158.4
Botswana,BWA,10.30796557,5.486028178,11.66556748,23.615,555995318.5
Central African Republic,CAF,9.377054531,0.502110003,5.583167352,6.337,
Canada,CAN,12.3347519,3.819866339,6.802801153,5.28,15509256417
